"","year","month","ID","element","day","TMAX"
"38968",1981,1,"USC00020949","TMAX",1,267
"38969",1981,1,"USC00020949","TMAX",2,261
"38970",1981,1,"USC00020949","TMAX",3,267
"38971",1981,1,"USC00020949","TMAX",4,250
"53480",1994,1,"USC00020949","TMAX",5,239
"11197",1956,1,"USC00020949","TMAX",6,261
"13430",1958,1,"USC00020949","TMAX",7,261
"17894",1962,1,"USC00020949","TMAX",7,261
"17895",1962,1,"USC00020949","TMAX",8,256
"11200",1956,1,"USC00020949","TMAX",9,267
"11201",1956,1,"USC00020949","TMAX",10,244
"38977",1981,1,"USC00020949","TMAX",10,244
"49021",1990,1,"USC00020949","TMAX",10,244
"7854",1953,1,"USC00020949","TMAX",11,261
"14551",1959,1,"USC00020949","TMAX",12,261
"11204",1956,1,"USC00020949","TMAX",13,250
"14552",1959,1,"USC00020949","TMAX",13,250
"11205",1956,1,"USC00020949","TMAX",14,244
"60185",2000,1,"USC00020949","TMAX",14,244
"60186",2000,1,"USC00020949","TMAX",15,261
"33403",1976,1,"USC00020949","TMAX",16,267
"14556",1959,1,"USC00020949","TMAX",17,278
"14557",1959,1,"USC00020949","TMAX",18,311
"27888",1971,1,"USC00020949","TMAX",19,294
"27889",1971,1,"USC00020949","TMAX",20,306
"27890",1971,1,"USC00020949","TMAX",21,289
"69989",2009,1,"USC00020949","TMAX",22,250
"24544",1968,1,"USC00020949","TMAX",23,244
"14563",1959,1,"USC00020949","TMAX",24,267
"14564",1959,1,"USC00020949","TMAX",25,272
"32297",1975,1,"USC00020949","TMAX",26,272
"63546",2003,1,"USC00020949","TMAX",27,267
"27897",1971,1,"USC00020949","TMAX",28,267
"33416",1976,1,"USC00020949","TMAX",29,267
"44576",1986,1,"USC00020949","TMAX",29,267
"7873",1953,1,"USC00020949","TMAX",30,256
"23435",1967,1,"USC00020949","TMAX",30,256
"42345",1984,1,"USC00020949","TMAX",30,256
"8990",1954,1,"USC00020949","TMAX",31,283
"63550",2003,1,"USC00020949","TMAX",31,283
"63613",2003,2,"USC00020949","TMAX",1,283
"7938",1953,2,"USC00020949","TMAX",2,300
"19099",1963,2,"USC00020949","TMAX",3,289
"19100",1963,2,"USC00020949","TMAX",4,294
"19101",1963,2,"USC00020949","TMAX",5,294
"19102",1963,2,"USC00020949","TMAX",6,300
"19103",1963,2,"USC00020949","TMAX",7,322
"26854",1970,2,"USC00020949","TMAX",8,300
"55809",1996,2,"USC00020949","TMAX",9,294
"55810",1996,2,"USC00020949","TMAX",10,289
"12411",1957,2,"USC00020949","TMAX",11,294
"16875",1961,2,"USC00020949","TMAX",11,294
"27973",1971,2,"USC00020949","TMAX",11,294
"12412",1957,2,"USC00020949","TMAX",12,283
"27974",1971,2,"USC00020949","TMAX",12,283
"12413",1957,2,"USC00020949","TMAX",13,306
"12414",1957,2,"USC00020949","TMAX",14,311
"75655",2014,2,"USC00020949","TMAX",15,306
"75656",2014,2,"USC00020949","TMAX",16,289
"75657",2014,2,"USC00020949","TMAX",17,300
"39078",1981,2,"USC00020949","TMAX",18,300
"39079",1981,2,"USC00020949","TMAX",19,322
"29098",1972,2,"USC00020949","TMAX",20,294
"39080",1981,2,"USC00020949","TMAX",20,294
"34617",1977,2,"USC00020949","TMAX",21,322
"40198",1982,2,"USC00020949","TMAX",22,300
"40199",1982,2,"USC00020949","TMAX",23,294
"48011",1989,2,"USC00020949","TMAX",23,294
"62519",2002,2,"USC00020949","TMAX",23,294
"44664",1986,2,"USC00020949","TMAX",24,311
"44665",1986,2,"USC00020949","TMAX",25,317
"44666",1986,2,"USC00020949","TMAX",26,322
"44667",1986,2,"USC00020949","TMAX",27,322
"44668",1986,2,"USC00020949","TMAX",28,333
"29107",1972,2,"USC00020949","TMAX",29,300
"44734",1986,3,"USC00020949","TMAX",1,333
"14727",1959,3,"USC00020949","TMAX",2,317
"70155",2009,3,"USC00020949","TMAX",2,317
"14728",1959,3,"USC00020949","TMAX",3,317
"29175",1972,3,"USC00020949","TMAX",4,317
"29176",1972,3,"USC00020949","TMAX",5,339
"29177",1972,3,"USC00020949","TMAX",6,333
"15848",1960,3,"USC00020949","TMAX",7,339
"29179",1972,3,"USC00020949","TMAX",8,333
"29180",1972,3,"USC00020949","TMAX",9,350
"29181",1972,3,"USC00020949","TMAX",10,344
"29182",1972,3,"USC00020949","TMAX",11,333
"57020",1997,3,"USC00020949","TMAX",11,333
"29183",1972,3,"USC00020949","TMAX",12,333
"29184",1972,3,"USC00020949","TMAX",13,339
"67934",2007,3,"USC00020949","TMAX",13,339
"74631",2013,3,"USC00020949","TMAX",14,339
"74632",2013,3,"USC00020949","TMAX",15,339
"67937",2007,3,"USC00020949","TMAX",16,367
"67938",2007,3,"USC00020949","TMAX",17,367
"67939",2007,3,"USC00020949","TMAX",18,344
"57028",1997,3,"USC00020949","TMAX",19,339
"57029",1997,3,"USC00020949","TMAX",20,356
"57030",1997,3,"USC00020949","TMAX",21,356
"15863",1960,3,"USC00020949","TMAX",22,344
"11400",1956,3,"USC00020949","TMAX",23,339
"11401",1956,3,"USC00020949","TMAX",24,350
"8054",1953,3,"USC00020949","TMAX",25,333
"11402",1956,3,"USC00020949","TMAX",25,333
"46991",1988,3,"USC00020949","TMAX",26,350
"44760",1986,3,"USC00020949","TMAX",27,356
"76877",2015,3,"USC00020949","TMAX",28,356
"76878",2015,3,"USC00020949","TMAX",29,356
"76879",2015,3,"USC00020949","TMAX",30,361
"76880",2015,3,"USC00020949","TMAX",31,356
"72479",2011,4,"USC00020949","TMAX",1,378
"14820",1959,4,"USC00020949","TMAX",2,389
"17053",1961,4,"USC00020949","TMAX",3,372
"17054",1961,4,"USC00020949","TMAX",4,389
"7011",1952,4,"USC00020949","TMAX",5,367
"14823",1959,4,"USC00020949","TMAX",5,367
"15939",1960,4,"USC00020949","TMAX",5,367
"48180",1989,4,"USC00020949","TMAX",6,383
"48181",1989,4,"USC00020949","TMAX",7,394
"48182",1989,4,"USC00020949","TMAX",8,394
"48183",1989,4,"USC00020949","TMAX",9,383
"48184",1989,4,"USC00020949","TMAX",10,378
"75837",2014,4,"USC00020949","TMAX",11,372
"322",1936,4,"USC00020949","TMAX",12,383
"323",1936,4,"USC00020949","TMAX",13,389
"18180",1962,4,"USC00020949","TMAX",14,389
"325",1936,4,"USC00020949","TMAX",15,389
"42610",1984,4,"USC00020949","TMAX",16,394
"327",1936,4,"USC00020949","TMAX",17,394
"18184",1962,4,"USC00020949","TMAX",18,394
"38149",1980,4,"USC00020949","TMAX",19,394
"13722",1958,4,"USC00020949","TMAX",20,394
"13723",1958,4,"USC00020949","TMAX",21,406
"73616",2012,4,"USC00020949","TMAX",22,411
"73617",2012,4,"USC00020949","TMAX",23,394
"56010",1996,4,"USC00020949","TMAX",24,383
"56011",1996,4,"USC00020949","TMAX",25,378
"61591",2001,4,"USC00020949","TMAX",25,378
"51548",1992,4,"USC00020949","TMAX",26,389
"56012",1996,4,"USC00020949","TMAX",26,389
"60476",2000,4,"USC00020949","TMAX",26,389
"60477",2000,4,"USC00020949","TMAX",27,400
"51550",1992,4,"USC00020949","TMAX",28,394
"68042",2007,4,"USC00020949","TMAX",28,394
"14847",1959,4,"USC00020949","TMAX",29,406
"14848",1959,4,"USC00020949","TMAX",30,394
"43804",1985,5,"USC00020949","TMAX",1,394
"43805",1985,5,"USC00020949","TMAX",2,389
"56081",1996,5,"USC00020949","TMAX",2,389
"60545",2000,5,"USC00020949","TMAX",2,389
"11566",1956,5,"USC00020949","TMAX",3,400
"60546",2000,5,"USC00020949","TMAX",3,400
"13799",1958,5,"USC00020949","TMAX",4,400
"64949",2004,5,"USC00020949","TMAX",4,400
"13800",1958,5,"USC00020949","TMAX",5,400
"48272",1989,5,"USC00020949","TMAX",5,400
"13801",1958,5,"USC00020949","TMAX",6,411
"18266",1962,5,"USC00020949","TMAX",7,433
"48275",1989,5,"USC00020949","TMAX",8,422
"61668",2001,5,"USC00020949","TMAX",9,422
"16037",1960,5,"USC00020949","TMAX",10,417
"16038",1960,5,"USC00020949","TMAX",11,439
"56091",1996,5,"USC00020949","TMAX",12,439
"56092",1996,5,"USC00020949","TMAX",13,422
"33773",1976,5,"USC00020949","TMAX",14,417
"73702",2012,5,"USC00020949","TMAX",15,406
"73703",2012,5,"USC00020949","TMAX",16,428
"13812",1958,5,"USC00020949","TMAX",17,428
"13813",1958,5,"USC00020949","TMAX",18,433
"69242",2008,5,"USC00020949","TMAX",19,433
"69243",2008,5,"USC00020949","TMAX",20,428
"73708",2012,5,"USC00020949","TMAX",21,428
"60565",2000,5,"USC00020949","TMAX",22,439
"13818",1958,5,"USC00020949","TMAX",23,444
"13819",1958,5,"USC00020949","TMAX",24,439
"13820",1958,5,"USC00020949","TMAX",25,433
"13821",1958,5,"USC00020949","TMAX",26,439
"31553",1974,5,"USC00020949","TMAX",26,439
"13822",1958,5,"USC00020949","TMAX",27,444
"41598",1983,5,"USC00020949","TMAX",27,444
"41599",1983,5,"USC00020949","TMAX",28,461
"13824",1958,5,"USC00020949","TMAX",29,456
"57225",1997,5,"USC00020949","TMAX",30,433
"60573",2000,5,"USC00020949","TMAX",30,433
"61690",2001,5,"USC00020949","TMAX",31,433
"73718",2012,5,"USC00020949","TMAX",31,433
"73781",2012,6,"USC00020949","TMAX",1,450
"12774",1957,6,"USC00020949","TMAX",2,444
"12775",1957,6,"USC00020949","TMAX",3,450
"12776",1957,6,"USC00020949","TMAX",4,456
"12777",1957,6,"USC00020949","TMAX",5,456
"62874",2002,6,"USC00020949","TMAX",6,444
"43903",1985,6,"USC00020949","TMAX",7,461
"10548",1955,6,"USC00020949","TMAX",8,472
"10549",1955,6,"USC00020949","TMAX",9,461
"30513",1973,6,"USC00020949","TMAX",9,461
"11666",1956,6,"USC00020949","TMAX",10,456
"11667",1956,6,"USC00020949","TMAX",11,450
"15016",1959,6,"USC00020949","TMAX",12,472
"509",1936,6,"USC00020949","TMAX",13,456
"15017",1959,6,"USC00020949","TMAX",13,456
"37214",1979,6,"USC00020949","TMAX",14,483
"17251",1961,6,"USC00020949","TMAX",15,461
"31636",1974,6,"USC00020949","TMAX",16,450
"43912",1985,6,"USC00020949","TMAX",16,450
"60652",2000,6,"USC00020949","TMAX",16,450
"77144",2015,6,"USC00020949","TMAX",16,450
"39449",1981,6,"USC00020949","TMAX",17,456
"77145",2015,6,"USC00020949","TMAX",17,456
"48378",1989,6,"USC00020949","TMAX",18,467
"515",1936,6,"USC00020949","TMAX",19,467
"69336",2008,6,"USC00020949","TMAX",20,467
"17257",1961,6,"USC00020949","TMAX",21,478
"15026",1959,6,"USC00020949","TMAX",22,472
"15027",1959,6,"USC00020949","TMAX",23,483
"12796",1957,6,"USC00020949","TMAX",24,478
"27243",1970,6,"USC00020949","TMAX",25,483
"49502",1990,6,"USC00020949","TMAX",26,478
"30531",1973,6,"USC00020949","TMAX",27,478
"53967",1994,6,"USC00020949","TMAX",27,478
"53968",1994,6,"USC00020949","TMAX",28,483
"53969",1994,6,"USC00020949","TMAX",29,489
"74926",2013,6,"USC00020949","TMAX",30,478
"29544",1972,7,"USC00020949","TMAX",1,461
"61846",2001,7,"USC00020949","TMAX",1,461
"69410",2008,7,"USC00020949","TMAX",1,461
"23965",1967,7,"USC00020949","TMAX",2,478
"72759",2011,7,"USC00020949","TMAX",2,478
"43992",1985,7,"USC00020949","TMAX",3,472
"12869",1957,7,"USC00020949","TMAX",4,472
"48457",1989,7,"USC00020949","TMAX",4,472
"68298",2007,7,"USC00020949","TMAX",5,478
"33951",1976,7,"USC00020949","TMAX",6,467
"41763",1983,7,"USC00020949","TMAX",6,467
"68299",2007,7,"USC00020949","TMAX",6,467
"33952",1976,7,"USC00020949","TMAX",7,472
"13989",1958,7,"USC00020949","TMAX",8,483
"13990",1958,7,"USC00020949","TMAX",9,506
"13991",1958,7,"USC00020949","TMAX",10,500
"13992",1958,7,"USC00020949","TMAX",11,500
"13993",1958,7,"USC00020949","TMAX",12,472
"64090",2003,7,"USC00020949","TMAX",13,467
"66136",2005,7,"USC00020949","TMAX",13,467
"64091",2003,7,"USC00020949","TMAX",14,472
"12880",1957,7,"USC00020949","TMAX",15,472
"58513",1998,7,"USC00020949","TMAX",16,483
"58514",1998,7,"USC00020949","TMAX",17,478
"66140",2005,7,"USC00020949","TMAX",17,478
"16231",1960,7,"USC00020949","TMAX",18,483
"7304",1952,7,"USC00020949","TMAX",19,467
"36197",1978,7,"USC00020949","TMAX",20,461
"70545",2009,7,"USC00020949","TMAX",20,461
"38430",1980,7,"USC00020949","TMAX",21,461
"67198",2006,7,"USC00020949","TMAX",21,461
"67199",2006,7,"USC00020949","TMAX",22,472
"15120",1959,7,"USC00020949","TMAX",23,467
"19523",1963,7,"USC00020949","TMAX",24,461
"60753",2000,7,"USC00020949","TMAX",24,461
"15122",1959,7,"USC00020949","TMAX",25,472
"15123",1959,7,"USC00020949","TMAX",26,461
"55175",1995,7,"USC00020949","TMAX",26,461
"55176",1995,7,"USC00020949","TMAX",27,472
"55177",1995,7,"USC00020949","TMAX",28,494
"55178",1995,7,"USC00020949","TMAX",29,472
"12895",1957,7,"USC00020949","TMAX",30,467
"56296",1996,7,"USC00020949","TMAX",31,472
"53011",1993,8,"USC00020949","TMAX",1,472
"7380",1952,8,"USC00020949","TMAX",2,461
"55244",1995,8,"USC00020949","TMAX",2,461
"55245",1995,8,"USC00020949","TMAX",3,467
"58593",1998,8,"USC00020949","TMAX",3,467
"32926",1975,8,"USC00020949","TMAX",4,461
"55246",1995,8,"USC00020949","TMAX",4,461
"58594",1998,8,"USC00020949","TMAX",4,461
"26293",1969,8,"USC00020949","TMAX",5,472
"26294",1969,8,"USC00020949","TMAX",6,467
"8501",1953,8,"USC00020949","TMAX",7,461
"61945",2001,8,"USC00020949","TMAX",7,461
"73974",2012,8,"USC00020949","TMAX",8,461
"55251",1995,8,"USC00020949","TMAX",9,456
"65233",2004,8,"USC00020949","TMAX",9,456
"14084",1958,8,"USC00020949","TMAX",10,456
"64180",2003,8,"USC00020949","TMAX",10,456
"73976",2012,8,"USC00020949","TMAX",10,456
"38513",1980,8,"USC00020949","TMAX",11,461
"18550",1962,8,"USC00020949","TMAX",12,467
"16319",1960,8,"USC00020949","TMAX",13,461
"18551",1962,8,"USC00020949","TMAX",13,461
"73979",2012,8,"USC00020949","TMAX",13,461
"18552",1962,8,"USC00020949","TMAX",14,467
"77329",2015,8,"USC00020949","TMAX",15,467
"77330",2015,8,"USC00020949","TMAX",16,461
"75099",2013,8,"USC00020949","TMAX",17,456
"8512",1953,8,"USC00020949","TMAX",18,450
"51912",1992,8,"USC00020949","TMAX",18,450
"72868",2011,8,"USC00020949","TMAX",18,450
"30709",1973,8,"USC00020949","TMAX",19,444
"39638",1981,8,"USC00020949","TMAX",20,444
"26309",1969,8,"USC00020949","TMAX",21,450
"26310",1969,8,"USC00020949","TMAX",22,450
"26311",1969,8,"USC00020949","TMAX",23,456
"44106",1985,8,"USC00020949","TMAX",24,472
"72875",2011,8,"USC00020949","TMAX",25,472
"72876",2011,8,"USC00020949","TMAX",26,461
"39645",1981,8,"USC00020949","TMAX",27,461
"72877",2011,8,"USC00020949","TMAX",27,461
"39646",1981,8,"USC00020949","TMAX",28,456
"58618",1998,8,"USC00020949","TMAX",28,456
"70646",2009,8,"USC00020949","TMAX",28,456
"39647",1981,8,"USC00020949","TMAX",29,456
"44111",1985,8,"USC00020949","TMAX",29,456
"42996",1984,8,"USC00020949","TMAX",30,456
"72880",2011,8,"USC00020949","TMAX",30,456
"55273",1995,8,"USC00020949","TMAX",31,450
"7472",1952,9,"USC00020949","TMAX",1,444
"26382",1969,9,"USC00020949","TMAX",1,444
"7473",1952,9,"USC00020949","TMAX",2,461
"7474",1952,9,"USC00020949","TMAX",3,461
"7475",1952,9,"USC00020949","TMAX",4,456
"10823",1955,9,"USC00020949","TMAX",4,456
"7476",1952,9,"USC00020949","TMAX",5,444
"10824",1955,9,"USC00020949","TMAX",5,444
"55341",1995,9,"USC00020949","TMAX",6,472
"7478",1952,9,"USC00020949","TMAX",7,450
"37486",1979,9,"USC00020949","TMAX",7,450
"37487",1979,9,"USC00020949","TMAX",8,444
"25274",1968,9,"USC00020949","TMAX",9,439
"31908",1974,9,"USC00020949","TMAX",9,439
"37488",1979,9,"USC00020949","TMAX",9,439
"49764",1990,9,"USC00020949","TMAX",9,439
"49765",1990,9,"USC00020949","TMAX",10,450
"28624",1971,9,"USC00020949","TMAX",11,450
"28625",1971,9,"USC00020949","TMAX",12,456
"28626",1971,9,"USC00020949","TMAX",13,439
"8601",1953,9,"USC00020949","TMAX",14,439
"28628",1971,9,"USC00020949","TMAX",15,439
"60930",2000,9,"USC00020949","TMAX",15,439
"7487",1952,9,"USC00020949","TMAX",16,439
"18648",1962,9,"USC00020949","TMAX",17,444
"11953",1956,9,"USC00020949","TMAX",18,450
"14186",1958,9,"USC00020949","TMAX",19,439
"18650",1962,9,"USC00020949","TMAX",19,439
"14187",1958,9,"USC00020949","TMAX",20,439
"14188",1958,9,"USC00020949","TMAX",21,450
"23055",1966,9,"USC00020949","TMAX",22,422
"40849",1982,9,"USC00020949","TMAX",22,422
"74081",2012,9,"USC00020949","TMAX",22,422
"23056",1966,9,"USC00020949","TMAX",23,428
"40850",1982,9,"USC00020949","TMAX",23,428
"63171",2002,9,"USC00020949","TMAX",24,422
"19710",1963,9,"USC00020949","TMAX",25,428
"11961",1956,9,"USC00020949","TMAX",26,422
"11962",1956,9,"USC00020949","TMAX",27,422
"70739",2009,9,"USC00020949","TMAX",28,417
"71855",2010,9,"USC00020949","TMAX",28,417
"38624",1980,9,"USC00020949","TMAX",29,428
"38625",1980,9,"USC00020949","TMAX",30,428
"38689",1980,10,"USC00020949","TMAX",1,428
"38690",1980,10,"USC00020949","TMAX",2,428
"38691",1980,10,"USC00020949","TMAX",3,428
"7568",1952,10,"USC00020949","TMAX",4,406
"38692",1980,10,"USC00020949","TMAX",4,406
"53200",1993,10,"USC00020949","TMAX",4,406
"7569",1952,10,"USC00020949","TMAX",5,406
"20899",1964,10,"USC00020949","TMAX",5,406
"20900",1964,10,"USC00020949","TMAX",6,406
"38694",1980,10,"USC00020949","TMAX",6,406
"7571",1952,10,"USC00020949","TMAX",7,406
"38695",1980,10,"USC00020949","TMAX",7,406
"9804",1954,10,"USC00020949","TMAX",8,406
"56553",1996,10,"USC00020949","TMAX",9,406
"37582",1979,10,"USC00020949","TMAX",10,400
"50974",1991,10,"USC00020949","TMAX",10,400
"14271",1958,10,"USC00020949","TMAX",11,394
"14272",1958,10,"USC00020949","TMAX",12,400
"22022",1965,10,"USC00020949","TMAX",12,400
"14273",1958,10,"USC00020949","TMAX",13,411
"14274",1958,10,"USC00020949","TMAX",14,411
"14275",1958,10,"USC00020949","TMAX",15,422
"14276",1958,10,"USC00020949","TMAX",16,411
"15393",1959,10,"USC00020949","TMAX",17,406
"15394",1959,10,"USC00020949","TMAX",18,389
"64374",2003,10,"USC00020949","TMAX",18,389
"64375",2003,10,"USC00020949","TMAX",19,383
"64376",2003,10,"USC00020949","TMAX",20,383
"7585",1952,10,"USC00020949","TMAX",21,372
"64377",2003,10,"USC00020949","TMAX",21,372
"64378",2003,10,"USC00020949","TMAX",22,383
"15399",1959,10,"USC00020949","TMAX",23,389
"15400",1959,10,"USC00020949","TMAX",24,394
"15401",1959,10,"USC00020949","TMAX",25,394
"15402",1959,10,"USC00020949","TMAX",26,367
"22036",1965,10,"USC00020949","TMAX",26,367
"22037",1965,10,"USC00020949","TMAX",27,361
"69715",2008,10,"USC00020949","TMAX",27,361
"69716",2008,10,"USC00020949","TMAX",28,361
"7593",1952,10,"USC00020949","TMAX",29,350
"7594",1952,10,"USC00020949","TMAX",30,350
"7595",1952,10,"USC00020949","TMAX",31,344
"22041",1965,10,"USC00020949","TMAX",31,344
"47647",1988,10,"USC00020949","TMAX",31,344
"23220",1966,11,"USC00020949","TMAX",1,344
"18819",1962,11,"USC00020949","TMAX",2,328
"18820",1962,11,"USC00020949","TMAX",3,328
"72016",2010,11,"USC00020949","TMAX",3,328
"7661",1952,11,"USC00020949","TMAX",4,356
"38786",1980,11,"USC00020949","TMAX",5,344
"14359",1958,11,"USC00020949","TMAX",6,339
"70903",2009,11,"USC00020949","TMAX",6,339
"14360",1958,11,"USC00020949","TMAX",7,333
"68672",2007,11,"USC00020949","TMAX",7,333
"15477",1959,11,"USC00020949","TMAX",8,356
"12130",1956,11,"USC00020949","TMAX",9,333
"43254",1984,11,"USC00020949","TMAX",9,333
"12131",1956,11,"USC00020949","TMAX",10,322
"38791",1980,11,"USC00020949","TMAX",10,322
"12132",1956,11,"USC00020949","TMAX",11,322
"8785",1953,11,"USC00020949","TMAX",12,322
"24347",1967,11,"USC00020949","TMAX",12,322
"30981",1973,11,"USC00020949","TMAX",12,322
"24348",1967,11,"USC00020949","TMAX",13,322
"59999",1999,11,"USC00020949","TMAX",14,317
"24350",1967,11,"USC00020949","TMAX",15,322
"60000",1999,11,"USC00020949","TMAX",15,322
"60001",1999,11,"USC00020949","TMAX",16,322
"24352",1967,11,"USC00020949","TMAX",17,300
"55539",1995,11,"USC00020949","TMAX",18,306
"55540",1995,11,"USC00020949","TMAX",19,306
"55541",1995,11,"USC00020949","TMAX",20,294
"15490",1959,11,"USC00020949","TMAX",21,306
"9911",1954,11,"USC00020949","TMAX",22,283
"67571",2006,11,"USC00020949","TMAX",22,283
"9912",1954,11,"USC00020949","TMAX",23,278
"58892",1998,11,"USC00020949","TMAX",23,278
"39921",1981,11,"USC00020949","TMAX",24,294
"55546",1995,11,"USC00020949","TMAX",25,294
"9915",1954,11,"USC00020949","TMAX",26,278
"35459",1977,11,"USC00020949","TMAX",26,278
"55547",1995,11,"USC00020949","TMAX",26,278
"9916",1954,11,"USC00020949","TMAX",27,267
"58896",1998,11,"USC00020949","TMAX",27,267
"76505",2014,11,"USC00020949","TMAX",28,272
"38810",1980,11,"USC00020949","TMAX",29,278
"15499",1959,11,"USC00020949","TMAX",30,278
"60015",1999,11,"USC00020949","TMAX",30,278
"14447",1958,12,"USC00020949","TMAX",1,278
"15564",1959,12,"USC00020949","TMAX",2,283
"14449",1958,12,"USC00020949","TMAX",3,333
"14450",1958,12,"USC00020949","TMAX",4,294
"14451",1958,12,"USC00020949","TMAX",5,283
"14452",1958,12,"USC00020949","TMAX",6,289
"14453",1958,12,"USC00020949","TMAX",7,272
"13338",1957,12,"USC00020949","TMAX",8,272
"13339",1957,12,"USC00020949","TMAX",9,289
"14456",1958,12,"USC00020949","TMAX",10,283
"14457",1958,12,"USC00020949","TMAX",11,278
"14458",1958,12,"USC00020949","TMAX",12,278
"14459",1958,12,"USC00020949","TMAX",13,267
"14460",1958,12,"USC00020949","TMAX",14,261
"35541",1977,12,"USC00020949","TMAX",15,261
"38890",1980,12,"USC00020949","TMAX",16,272
"41123",1982,12,"USC00020949","TMAX",17,289
"14464",1958,12,"USC00020949","TMAX",18,267
"14465",1958,12,"USC00020949","TMAX",19,267
"40010",1981,12,"USC00020949","TMAX",20,256
"14467",1958,12,"USC00020949","TMAX",21,256
"11120",1955,12,"USC00020949","TMAX",22,250
"38896",1980,12,"USC00020949","TMAX",22,250
"11121",1955,12,"USC00020949","TMAX",23,267
"11122",1955,12,"USC00020949","TMAX",24,267
"11123",1955,12,"USC00020949","TMAX",25,256
"38900",1980,12,"USC00020949","TMAX",26,256
"60104",1999,12,"USC00020949","TMAX",26,256
"38901",1980,12,"USC00020949","TMAX",27,267
"38902",1980,12,"USC00020949","TMAX",28,250
"38903",1980,12,"USC00020949","TMAX",29,278
"38904",1980,12,"USC00020949","TMAX",30,278
"38905",1980,12,"USC00020949","TMAX",31,250
